vehicle,event_id,duration_seconds,duration_hours,delta_soc,integrated_current_ah,estimated_capacity_ah,initial_capacity_ah,soh_percent,avg_current_a
6,112,10690.0,2.9694444444444446,77.0,314.37944444444435,408.28499278499265,160,255.17812049062042,-98.5495024875622
6,324,5100.0,1.4166666666666667,51.0,122.45694444444443,240.11165577342044,160,150.06978485838778,-95.92717391304348
6,582,10450.0,2.9027777777777777,84.0,258.614722222222,307.87466931216903,160,192.42166832010565,-118.15252525252527
6,660,2790.0,0.775,20.0,47.610000000000014,238.05000000000007,160,148.78125000000006,-61.16371681415929
6,774,4490.0,1.2472222222222222,43.0,101.95249999999993,237.09883720930216,160,148.18677325581385,-85.69402985074628
