vehicle,event_id,start_time,end_time,duration_hours,start_soc,end_soc,delta_soc,avg_current_a,integrated_current_ah,estimated_capacity_ah,initial_capacity_ah,soh_percent,num_samples
4,2,401032927.0,401041607.0,2.411111111111111,22.0,88.0,66.0,-125.49608540925267,282.7656944444438,428.43287037036936,160,267.77054398148084,281
4,4,401123507.0,401132317.0,2.4472222222222224,53.0,97.0,44.0,-78.20604395604396,170.9905555555553,388.6148989898984,160,242.8843118686865,182
4,6,401223934.0,401231934.0,2.2222222222222223,40.0,89.0,49.0,-108.23904109589041,251.26805555555572,512.791950113379,160,320.4949688208619,146
4,8,402224615.0,402231245.0,1.8416666666666666,27.0,72.0,45.0,-146.9917355371901,264.3638888888889,587.4753086419753,160,367.1720679012345,121
4,10,403045802.0,403055952.0,2.8194444444444446,15.0,96.0,81.0,-113.53360215053763,415.10680555555496,512.4775377229073,160,320.29846107681703,372
4,12,403125050.0,403133630.0,2.3833333333333333,64.0,99.0,35.0,-69.14356435643565,205.61416666666665,587.4690476190476,160,367.16815476190476,202
4,14,403193204.0,403200754.0,2.0972222222222223,48.0,89.0,41.0,-111.34018691588787,163.6152777777779,399.0616531165315,160,249.41353319783218,107
4,16,404010605.0,404012535.0,0.5361111111111111,51.0,79.0,28.0,-124.85631067961165,66.84374999999999,238.7276785714285,160,149.2047991071428,103
4,18,404134058.0,404135858.0,0.5,79.0,92.0,13.0,-59.72580645161288,29.688055555555568,228.3696581196582,160,142.73103632478637,93
4,22,405033813.0,405042823.0,2.5027777777777778,50.0,99.0,49.0,-84.25827814569537,236.8737500000001,483.4158163265308,160,302.13488520408174,302
4,24,405130513.0,405132953.0,0.6777777777777778,72.0,92.0,20.0,-82.75168539325843,51.51152777777778,257.5576388888889,160,160.97352430555557,89
4,28,406133700.0,406141350.0,2.125,54.0,92.0,38.0,-90.61258278145695,151.4020833333335,398.42653508771974,160,249.01658442982483,151
4,30,407010130.0,407021020.0,3.025,27.0,99.0,72.0,-84.9969696969697,223.3918055555555,310.2663966049382,160,193.91649787808637,231
4,32,407115643.0,407124453.0,2.4472222222222224,47.0,97.0,50.0,-87.8717277486911,271.37111111111096,542.7422222222219,160,339.21388888888873,191
4,36,408050211.0,408055801.0,1.5527777777777778,22.0,95.0,73.0,-113.10773809523809,175.4901388888892,240.39745053272492,160,150.24840658295307,336
4,38,409132650.0,409141010.0,2.3222222222222224,6.0,77.0,71.0,-146.92000000000002,312.25180555555545,439.7912754303598,160,274.86954714397484,170
4,40,409191904.0,409195724.0,1.0611111111111111,54.0,94.0,40.0,-94.00902255639099,96.09833333333346,240.24583333333362,160,150.1536458333335,133
4,42,410020428.0,410024348.0,1.0888888888888888,56.0,94.0,38.0,-86.12070707070708,95.92847222222217,252.44334795321623,160,157.77709247076015,198
4,44,410192854.0,410195454.0,0.7222222222222222,43.0,81.0,38.0,-127.35980392156864,92.26888888888885,242.81286549707593,160,151.75804093567245,102
4,46,411033252.0,411043452.0,2.8333333333333335,20.0,98.0,78.0,-107.64128686327076,322.8305555555562,413.88532763532845,160,258.67832977208025,373
