vehicle,event_id,duration_seconds,duration_hours,delta_soc,integrated_current_ah,estimated_capacity_ah,initial_capacity_ah,soh_percent,avg_current_a
10,1,50315.0,13.97638888888889,39.0,492.86111111110927,1263.746438746434,505,250.24681955374933,-75.73278271918679
10,277,798546.0,221.81833333333333,30.0,2109.1332222222172,7030.444074074057,505,1392.1671433810016,-132.4645892351275
10,527,64049.0,17.79138888888889,34.0,473.71536111111044,1393.280473856207,505,275.89712353588254,-76.9779856115108
10,751,59222.0,16.450555555555557,36.0,829.1497916666667,2303.193865740741,505,456.0779932159883,-139.59951807228916
10,1037,62420.0,17.33888888888889,35.0,511.63999999999913,1461.8285714285691,505,289.471004243281,-77.60971830985915
