vehicle,event_id,start_time,end_time,duration_hours,start_soc,end_soc,delta_soc,avg_current_a,integrated_current_ah,estimated_capacity_ah,initial_capacity_ah,soh_percent,num_samples
3,2,401003755.0,401012235.0,2.3555555555555556,28.0,81.0,53.0,-111.25487179487178,297.0674999999999,560.5047169811319,160,350.3154481132074,195
3,4,402013302.0,402022001.0,2.4163888888888887,45.0,94.0,49.0,-91.11323529411766,186.28843055555535,380.18047052154157,160,237.6127940759635,204
3,6,403010810.0,403020010.0,2.5555555555555554,33.0,94.0,61.0,-110.62631578947368,209.89763888888865,344.0944899817847,160,215.05905623861543,228
3,8,404014542.0,404021842.0,2.0277777777777777,66.0,94.0,28.0,-81.72333333333334,136.30749999999995,486.8124999999998,160,304.2578124999999,180
3,10,405031633.0,405041143.0,2.6416666666666666,28.0,94.0,66.0,-110.28915662650603,232.82999999999964,352.77272727272674,160,220.48295454545422,332
3,12,406013708.0,406023028.0,2.588888888888889,28.0,94.0,66.0,-110.74335443037972,306.83111111111066,464.8956228956222,160,290.55976430976386,316
3,14,407000024.0,407001944.0,0.5333333333333333,38.0,54.0,16.0,-80.4,42.865833333333306,267.91145833333314,160,167.4446614583332,52
3,16,407035611.0,407044901.0,2.5805555555555557,30.0,94.0,64.0,-106.18279069767443,380.5394444444446,594.5928819444447,160,371.62055121527794,215
3,18,408014015.0,408024053.0,2.7883333333333336,17.0,94.0,77.0,-110.78757763975155,355.35750000000036,461.5032467532472,160,288.4395292207795,161
3,20,408184644.0,408185254.0,0.16944444444444445,75.0,82.0,7.0,-82.68571428571428,14.917499999999999,213.1071428571428,160,133.19196428571425,14
3,26,410023913.0,410033503.0,2.6638888888888888,24.0,94.0,70.0,-110.55938461538463,317.98388888888957,454.2626984126994,160,283.91418650793713,325
3,28,411011602.0,411020322.0,2.422222222222222,50.0,95.0,45.0,-83.30822510822512,180.55972222222218,401.2438271604937,160,250.77739197530855,231
3,30,412014909.0,412023939.0,2.5083333333333333,37.0,94.0,57.0,-100.79194139194139,302.1872222222207,530.1530214424926,160,331.34563840155784,273
3,32,413020014.0,413025224.0,1.4472222222222222,30.0,95.0,65.0,-100.84497991967872,160.49388888888876,246.91367521367502,160,154.32104700854688,249
3,34,414013652.0,414023002.0,2.5972222222222223,34.0,94.0,60.0,-100.24410646387834,287.76125000000025,479.6020833333338,160,299.7513020833336,263
3,36,414193416.0,414200256.0,1.9,61.0,90.0,29.0,-94.43872832369944,138.00416666666658,475.8764367816089,160,297.4227729885055,173
3,44,415040533.0,415050253.0,2.7,49.0,95.0,46.0,-70.53536231884058,175.8895833333333,382.36865942028976,160,238.9804121376811,345
3,46,415200140.0,415205340.0,1.4444444444444444,16.0,83.0,67.0,-117.51246006389776,170.55583333333325,254.56094527363172,160,159.10059079601982,313
3,48,416020030.0,416025340.0,1.475,48.0,94.0,46.0,-78.89562500000001,116.60763888888862,253.49486714975785,160,158.43429196859867,320
3,50,416180507.0,416183137.0,0.7305555555555555,52.0,84.0,32.0,-118.1575,86.26861111111106,269.58940972222206,160,168.49338107638877,160
3,52,417012525.0,417020915.0,2.3305555555555557,47.0,94.0,47.0,-98.15984848484848,182.92416666666642,389.2003546099286,160,243.25022163120536,264
3,54,417193417.0,417201057.0,2.1222222222222222,31.0,85.0,54.0,-132.7660633484163,259.89208333333335,481.2816358024691,160,300.8010223765432,221
3,56,418002948.0,418010048.0,1.9722222222222223,68.0,95.0,27.0,-74.91818181818182,118.86555555555557,440.2427983539095,160,275.15174897119346,187
3,58,419023109.0,419032809.0,2.6944444444444446,23.0,94.0,71.0,-112.17026239067056,301.4937500000007,424.63908450704326,160,265.399427816902,343
3,62,420042751.0,420052321.0,2.658333333333333,59.0,99.0,40.0,-62.20449101796408,137.77041666666685,344.4260416666671,160,215.26627604166694,334
3,64,420192849.0,420211229.0,5.105555555555555,20.0,99.0,79.0,-67.04074074074074,321.8994444444441,407.46765119549883,160,254.6672819971868,621
3,66,421033935.0,421041705.0,2.158333333333333,59.0,95.0,36.0,-88.30309734513274,156.16763888888875,433.79899691357986,160,271.1243730709874,226
3,68,422013831.0,422023731.0,2.75,19.0,94.0,75.0,-114.28788732394365,349.9977777777777,466.66370370370356,160,291.66481481481475,355
3,70,422195018.0,422205728.0,2.975,11.0,95.0,84.0,-111.19975247524752,425.5965277777777,506.662533068783,160,316.66408316798936,404
3,72,423000032.0,423001632.0,0.4444444444444444,83.0,95.0,12.0,-56.20412371134021,24.873194444444433,207.2766203703703,160,129.54788773148144,97
3,74,424002638.0,424013638.0,3.0555555555555554,23.0,95.0,72.0,-93.06365795724466,273.5612500000003,379.946180555556,160,237.46636284722248,421
3,76,424192117.0,424200957.0,2.4555555555555557,35.0,91.0,56.0,-107.0911262798635,207.53236111111087,370.59350198412653,160,231.62093874007908,293
3,78,425115238.0,425125118.0,2.7444444444444445,35.0,95.0,60.0,-90.72011331444759,291.71027777777743,486.1837962962957,160,303.8648726851848,353
3,80,426005423.0,426014553.0,2.536111111111111,34.0,94.0,60.0,-104.84548387096774,335.199722222222,558.6662037037034,160,349.1663773148146,310
3,82,426220801.0,426223741.0,0.8166666666666667,51.0,87.0,36.0,-108.24245810055865,88.84444444444436,246.7901234567899,160,154.2438271604937,179
3,84,427173525.0,427183535.0,2.7805555555555554,15.0,89.0,74.0,-111.09226519337015,332.48708333333354,449.3068693693697,160,280.816793355856,362
3,86,428001802.0,428005402.0,1.0,60.0,95.0,35.0,-86.06774193548388,86.09041666666673,245.97261904761925,160,153.73288690476204,217
3,88,429011807.0,429020747.0,2.4833333333333334,35.0,90.0,55.0,-100.72508361204014,199.96055555555563,363.56464646464656,160,227.22790404040413,299
3,90,429130641.0,429135521.0,1.3555555555555556,41.0,95.0,54.0,-98.28293515358361,133.08416666666676,246.4521604938273,160,154.0326003086421,293
3,92,430004332.0,430013232.0,2.4722222222222223,38.0,95.0,57.0,-104.36101694915254,283.3933333333323,497.1812865497058,160,310.73830409356617,295
