vehicle,event_id,duration_seconds,duration_hours,delta_soc,integrated_current_ah,estimated_capacity_ah,initial_capacity_ah,soh_percent,avg_current_a
4,103,8680.0,2.411111111111111,66.0,282.7656944444438,428.43287037036936,160,267.77054398148084,-125.49608540925267
4,243,8810.0,2.4472222222222224,44.0,170.9905555555553,388.6148989898984,160,242.8843118686865,-78.20604395604396
4,461,8000.0,2.2222222222222223,49.0,251.26805555555572,512.791950113379,160,320.4949688208619,-108.23904109589041
4,635,7022.0,1.9505555555555556,44.0,273.98422222222223,622.6914141414142,160,389.18213383838383,-145.77377049180333
4,839,14200.0,3.9444444444444446,81.0,443.85055555555493,547.9636488340184,160,342.4772805212615,-113.21983914209115
