vehicle,event_id,start_time,end_time,duration_hours,start_soc,end_soc,delta_soc,avg_current_a,integrated_current_ah,estimated_capacity_ah,initial_capacity_ah,soh_percent,num_samples
8,2,401023633.0,401044633.0,5.833333333333333,31.0,99.0,68.0,-192.78963730569944,1129.5157916666672,1661.0526348039223,645,257.52754027967785,386
8,4,402082449.0,402083429.0,0.2722222222222222,85.0,91.0,6.0,-228.50322580645167,62.29912500000001,1038.3187500000001,645,160.9796511627907,31
8,6,403015529.0,403033234.0,4.918055555555555,46.0,99.0,53.0,-188.93766666666664,955.7844027777752,1803.3667976939155,645,279.591751580452,300
8,10,405000039.0,405023305.0,6.462777777777778,46.0,99.0,53.0,-150.0611413043478,1026.2556111111135,1936.3313417190818,645,300.2064095688499,368
8,12,406025127.0,406045213.0,5.579444444444444,44.0,98.0,54.0,-156.1611859838275,886.5591388888881,1641.7761831275704,645,254.53894312055354,371
8,134,408000113.0,408015119.0,4.168333333333333,57.0,99.0,42.0,-189.76695278969956,815.9356250000023,1942.7038690476247,645,301.19439830195734,233
8,136,409015407.0,409044413.0,8.057222222222222,40.0,99.0,59.0,-127.3173745173745,1040.399361111109,1763.3887476459477,645,273.3936042861934,518
8,140,411000537.0,411012317.0,3.272222222222222,58.0,99.0,41.0,-195.03963963963957,637.6480972222234,1555.2392615176182,645,241.12236612676253,222
8,142,412000005.0,412015827.0,4.395,54.0,99.0,45.0,-191.65528455284553,858.631680555555,1908.0704012345666,645,295.82486840845996,246
8,144,413000028.0,413020111.0,5.578611111111111,32.0,98.0,66.0,-191.4282608695652,1083.1162499999991,1641.085227272726,645,254.43181818181796,368
8,146,414000007.0,414011130.0,3.089722222222222,59.0,98.0,39.0,-189.55772727272733,601.8343888888893,1543.1650997151007,645,239.25040305660477,220
8,150,416000010.0,416015615.0,4.334722222222222,34.0,98.0,64.0,-189.63230337078653,838.1563611111104,1309.61931423611,645,203.04175414513335,356
8,152,417000204.0,417020246.0,5.567222222222222,51.0,99.0,48.0,-190.14473684210526,1077.6027916666694,2245.005815972228,645,348.06291720499655,266
8,154,418000132.0,418015335.0,4.223055555555556,37.0,98.0,61.0,-188.80526315789476,811.3557222222228,1330.0913479052833,645,206.2157128535323,342
8,156,419000045.0,419015111.0,4.185,40.0,99.0,59.0,-186.87705882352944,801.0033750000005,1357.6328389830517,645,210.48571147024057,340
8,160,421034221.0,421055906.0,6.023611111111111,28.0,99.0,71.0,-192.78067632850244,1176.067486111114,1656.433079029738,645,256.8113300821299,414
8,164,423000152.0,423011937.0,3.2736111111111112,55.0,98.0,43.0,-188.7170124481328,637.7229999999998,1483.0767441860462,645,229.93437894357305,241
8,166,424004831.0,424021011.0,4.4944444444444445,53.0,98.0,45.0,-194.0161943319838,876.8088750000002,1948.464166666667,645,302.08746770025846,247
8,168,425005112.0,425014137.0,2.5069444444444446,75.0,98.0,23.0,-156.52641509433963,408.3282916666661,1775.340398550722,645,275.2465734187166,159
8,170,426000057.0,426013959.0,3.861666666666667,58.0,98.0,40.0,-193.08942731277537,760.7506111111112,1901.876527777778,645,294.8645779500431,227
8,172,427000141.0,427014244.0,3.9175,42.0,98.0,56.0,-191.75210355987053,764.1918888888903,1364.6283730158755,645,211.5702903900582,309
8,174,428000131.0,428012413.0,3.4116666666666666,53.0,98.0,45.0,-190.78525896414345,661.7393333333338,1470.5318518518527,645,227.98943439563607,251
8,176,429000210.0,429020533.0,5.645277777777777,39.0,99.0,60.0,-177.99281914893618,1020.9032361111122,1701.5053935185203,645,263.79928581682486,376
8,178,430000057.0,430021200.0,5.873055555555555,62.0,98.0,36.0,-96.47146464646464,572.1063055555545,1589.1841820987627,645,246.3851445114361,396
