vehicle,event_id,start_time,end_time,duration_hours,start_soc,end_soc,delta_soc,avg_current_a,integrated_current_ah,estimated_capacity_ah,initial_capacity_ah,soh_percent,num_samples
2,10,404162035.0,404162455.0,0.11666666666666667,18.0,28.0,10.0,-184.26000000000005,22.088472222222222,220.88472222222222,150,147.25648148148147,15
2,12,405072400.0,405081140.0,2.4277777777777776,27.0,94.0,67.0,-117.4852380952381,228.34208333333336,340.80907960199005,150,227.20605306799337,210
2,14,406051139.0,406055209.0,1.1305555555555555,40.0,94.0,54.0,-105.83401639344262,119.88888888888881,222.01646090534965,150,148.01097393689977,244
2,18,408050903.0,408060403.0,2.638888888888889,12.0,94.0,82.0,-118.06948640483384,242.61444444444427,295.8712737127369,150,197.2475158084913,331
2,22,410123058.0,410125348.0,0.6361111111111111,42.0,77.0,35.0,-122.22608695652175,77.94027777777775,222.68650793650787,150,148.4576719576719,92
2,26,412043659.0,412044339.0,0.18888888888888888,38.0,51.0,13.0,-152.5707317073171,29.317777777777785,225.52136752136758,150,150.3475783475784,41
2,28,412051840.0,412054140.0,0.6388888888888888,44.0,81.0,37.0,-129.5978417266187,83.54111111111105,225.78678678678662,150,150.5245245245244,139
2,30,412062230.0,412063700.0,0.4083333333333333,79.0,93.0,14.0,-78.78636363636365,32.14513888888885,229.60813492063463,150,153.07208994708975,88
2,32,413051623.0,413060403.0,2.438888888888889,26.0,95.0,69.0,-114.60139372822302,214.2599999999998,310.5217391304345,150,207.01449275362302,287
2,34,413143207.0,413143737.0,0.14722222222222223,36.0,47.0,11.0,-159.87391304347827,23.341111111111104,212.19191919191914,150,141.46127946127942,23
2,36,414041301.0,414044641.0,0.9277777777777778,49.0,93.0,44.0,-105.84926108374385,98.24180555555539,223.27683080808043,150,148.8512205387203,203
2,38,414184325.0,414184825.0,0.1388888888888889,5.0,17.0,12.0,-190.672,27.031944444444445,225.26620370370372,150,150.17746913580248,25
2,42,415053456.0,415054726.0,0.3527777777777778,81.0,93.0,12.0,-76.52894736842104,26.80527777777779,223.37731481481492,150,148.91820987654327,76
2,44,415151851.0,415152621.0,0.21388888888888888,12.0,30.0,18.0,-184.3891304347826,39.297361111111115,218.3186728395062,150,145.54578189300415,46
2,46,417041204.0,417041934.0,0.20277777777777778,13.0,29.0,16.0,-174.79347826086956,35.70847222222223,223.1779513888889,150,148.78530092592595,46
2,52,417154859.0,417155709.0,0.2361111111111111,11.0,24.0,13.0,-119.57,28.226944444444452,217.13034188034194,150,144.7535612535613,50
2,56,419041134.0,419042904.0,0.49166666666666664,44.0,73.0,29.0,-133.29905660377358,65.7811111111111,226.83141762452107,150,151.22094508301404,106
2,58,419044943.0,419045523.0,0.16111111111111112,73.0,81.0,8.0,-114.56285714285713,18.877499999999998,235.96874999999997,150,157.3125,35
2,62,422061340.0,422070020.0,2.411111111111111,30.0,95.0,65.0,-110.13024911032029,194.95319444444436,299.9279914529913,150,199.9519943019942,281
2,66,423151143.0,423152913.0,0.49166666666666664,37.0,68.0,31.0,-144.0304761904762,70.91333333333331,228.75268817204295,150,152.5017921146953,105
2,70,424130812.0,424133922.0,0.8638888888888889,58.0,95.0,37.0,-93.63936170212764,81.2504166666667,219.5957207207208,150,146.3971471471472,188
2,72,425051030.0,425054220.0,0.8861111111111111,59.0,91.0,32.0,-82.80833333333334,73.59888888888885,229.99652777777766,150,153.33101851851845,192
2,74,426050530.0,426055620.0,1.413888888888889,30.0,95.0,65.0,-101.77875816993463,144.66708333333332,222.56474358974356,150,148.3764957264957,306
2,76,426122721.0,426124411.0,0.46944444444444444,38.0,68.0,30.0,-141.50882352941176,67.12097222222218,223.73657407407393,150,149.15771604938263,102
2,84,428060437.0,428064047.0,1.0027777777777778,50.0,95.0,45.0,-98.3059633027523,99.32166666666656,220.71481481481456,150,147.14320987654304,218
2,86,429053101.0,429054421.0,0.36666666666666664,32.0,57.0,25.0,-154.59012345679014,56.536944444444444,226.14777777777778,150,150.76518518518517,81
2,88,429060134.0,429061914.0,0.49444444444444446,56.0,82.0,26.0,-115.05327102803737,56.913194444444436,218.89690170940167,150,145.93126780626778,107
2,90,429070134.0,429071944.0,0.5027777777777778,75.0,94.0,19.0,-82.98363636363635,41.99791666666668,221.04166666666674,150,147.36111111111117,110
2,92,430050400.0,430055440.0,1.4,21.0,95.0,74.0,-114.72459016393442,160.37569444444435,216.72391141141128,150,144.48260760760752,305
2,94,430140629.0,430142049.0,0.39444444444444443,27.0,56.0,29.0,-157.8896551724138,62.51986111111112,215.5857279693487,150,143.72381864623247,87
