vehicle,event_id,start_time,end_time,duration_hours,start_soc,end_soc,delta_soc,avg_current_a,integrated_current_ah,estimated_capacity_ah,initial_capacity_ah,soh_percent,num_samples
5,2,401011547.0,401033127.0,5.9944444444444445,10.0,99.0,89.0,-54.758192955589585,289.37611111111227,325.1416978776542,160,203.21356117353392,653
5,4,401112608.0,401114738.0,0.5916666666666667,61.0,85.0,24.0,-88.675,56.063333333333354,233.5972222222223,160,145.99826388888894,84
5,6,402152333.0,402153633.0,0.3611111111111111,17.0,38.0,21.0,-146.22499999999997,53.54486111111112,254.97552910052914,160,159.3597056878307,44
5,10,404005526.0,404023246.0,4.9222222222222225,31.0,99.0,68.0,-55.93910386965378,368.07986111111137,541.2939133986931,160,338.30869587418323,491
5,12,405022111.0,405033911.0,3.2777777777777777,45.0,99.0,54.0,-61.039320388349516,196.14611111111165,363.2335390946512,160,227.020961934157,412
5,14,406011741.0,406030211.0,5.1305555555555555,27.0,99.0,72.0,-53.69948096885814,256.07152777777753,355.6548996913577,160,222.28431230709856,578
5,16,407013841.0,407035101.0,5.905555555555556,16.0,99.0,83.0,-52.38816568047338,359.88597222221887,433.59755689423963,160,270.9984730588998,507
5,18,408014628.0,408034428.0,5.5,18.0,99.0,81.0,-49.3060291060291,354.6936111111125,437.8933470507561,160,273.68334190672255,481
5,20,409022927.0,409035727.0,3.5555555555555554,28.0,99.0,71.0,-66.01141649048625,295.07208333333364,415.5944835680756,160,259.74655223004726,473
5,24,411214018.0,411230248.0,4.508333333333334,47.0,99.0,52.0,-60.70695970695971,265.6680555555555,510.9001068376067,160,319.31256677350416,273
5,30,413013041.0,413031811.0,5.213888888888889,28.0,99.0,71.0,-56.591605839416054,304.3969444444436,428.728090766822,160,267.9550567292638,548
5,32,414020828.0,414040438.0,5.447222222222222,15.0,100.0,85.0,-60.197712418300654,286.2405555555564,336.75359477124283,160,210.47099673202675,612
5,34,414172126.0,414175116.0,0.8305555555555556,53.0,88.0,35.0,-100.52483660130719,83.14000000000004,237.5428571428573,160,148.4642857142858,153
5,36,415003409.0,415021209.0,4.944444444444445,30.0,100.0,70.0,-64.0955857385399,298.9826388888878,427.118055555554,160,266.94878472222126,589
5,38,416012752.0,416013132.0,0.10555555555555556,5.0,11.0,6.0,-146.3913043478261,15.459166666666663,257.6527777777777,160,161.0329861111111,23
5,40,416014946.0,416035026.0,5.5777777777777775,9.0,99.0,90.0,-66.50731034482759,462.2859722222239,513.6510802469154,160,321.0319251543221,725
5,42,417020102.0,417035722.0,4.338888888888889,13.0,99.0,86.0,-65.74506437768241,269.34680555555485,313.1939599483196,160,195.74622496769976,699
5,44,417164524.0,417173204.0,2.411111111111111,55.0,99.0,44.0,-80.16049822064058,221.69388888888847,503.8497474747465,160,314.9060921717166,281
5,48,418191946.0,418194836.0,0.8027777777777778,35.0,80.0,45.0,-134.11436781609197,108.45027777777781,241.0006172839507,160,150.62538580246917,174
5,50,419022348.0,419025838.0,0.9694444444444444,46.0,88.0,42.0,-105.36714285714285,102.80749999999999,244.7797619047619,160,152.9873511904762,210
5,54,420020318.0,420025748.0,1.5083333333333333,27.0,95.0,68.0,-106.69756097560976,161.4930555555554,237.4897875816991,160,148.43111723856194,328
5,56,420205956.0,420213926.0,2.213888888888889,17.0,81.0,64.0,-143.09621848739496,195.7054166666668,305.78971354166686,160,191.1185709635418,238
5,58,421031223.0,421042743.0,3.2,68.0,99.0,31.0,-40.555849889624724,93.14916666666652,300.48118279569843,160,187.8007392473115,453
5,60,422014708.0,422030858.0,4.486111111111111,34.0,99.0,65.0,-72.94939024390244,334.908194444445,515.2433760683768,160,322.0271100427355,492
5,62,423012006.0,423022815.0,3.0025,16.0,99.0,83.0,-104.44829268292683,314.0687638888888,378.39610107095035,160,236.49756316934395,410
5,64,424204007.0,424205927.0,0.5333333333333333,46.0,59.0,13.0,-57.026495726495725,30.502361111111103,234.63354700854694,160,146.64596688034183,117
5,66,425024349.0,425043759.0,5.391666666666667,18.0,99.0,81.0,-63.681195335276975,363.0605555555584,448.22290809328194,160,280.13931755830123,686
5,70,427015818.0,427034518.0,5.194444444444445,24.0,99.0,75.0,-63.148678071539656,431.76361111111123,575.684814814815,160,359.80300925925934,643
5,74,428012501.0,428024251.0,3.263888888888889,41.0,99.0,58.0,-68.5405982905983,206.81652777777754,356.580220306513,160,222.86263769157065,468
5,76,428220350.0,428222420.0,0.575,43.0,68.0,25.0,-107.62096774193549,61.71083333333332,246.84333333333328,160,154.2770833333333,124
5,78,429040300.0,429040800.0,0.1388888888888889,5.0,16.0,11.0,-188.5483870967742,26.61888888888889,241.989898989899,160,151.24368686868686,31
5,80,429043507.0,429063707.0,5.611111111111111,9.0,99.0,90.0,-66.19658935879946,384.10263888888943,426.7807098765438,160,266.7379436728399,733
5,82,429232537.0,429233437.0,0.25,35.0,52.0,17.0,-163.3909090909091,41.138749999999995,241.99264705882348,160,151.2454044117647,55
5,84,430042006.0,430062116.0,5.586111111111111,10.0,99.0,89.0,-66.25123626373626,346.5883333333343,389.42509363295983,160,243.3906835205999,728
