vehicle,event_id,start_time,end_time,duration_hours,start_soc,end_soc,delta_soc,avg_current_a,integrated_current_ah,estimated_capacity_ah,initial_capacity_ah,soh_percent,num_samples
10,1,507002908.0,507024048.0,5.872222222222222,61.0,100.0,39.0,-75.84465648854962,440.9944444444426,1130.754985754981,505,223.91187836732294,786
10,3,509000801.0,509005951.0,1.4305555555555556,70.0,98.0,28.0,-151.30769230769232,217.91944444444414,778.283730158729,505,154.11559013044138,312
10,5,510000958.0,510020518.0,5.433333333333334,66.0,100.0,34.0,-77.21803751803752,421.7837499999993,1240.5404411764684,505,245.65157251019176,693
10,11,524005828.0,524032820.0,7.497777777777777,63.0,98.0,35.0,-147.2779187817259,573.0272916666668,1637.2208333333338,505,324.2021452145215,394
10,13,525002434.0,525022234.0,5.5,65.0,100.0,35.0,-77.73060648801129,430.54361111111024,1230.1246031746007,505,243.58903033160408,709
10,15,526003023.0,526015334.0,3.419722222222222,56.0,100.0,44.0,-135.87079999999997,429.5346388888897,976.2150883838401,505,193.30991849184954,500
10,17,527002254.0,527030446.0,7.831111111111111,52.0,98.0,46.0,-77.41708074534161,710.3477499999993,1544.2342391304333,505,305.78895824365014,966
10,19,528000123.0,528023753.0,6.563888888888889,53.0,98.0,45.0,-78.1695744680851,507.682500000001,1128.1833333333357,505,223.40264026402687,940
10,21,530002555.0,530024908.0,6.2091666666666665,59.0,100.0,41.0,-74.76848837209302,457.6565833333307,1116.2355691056846,505,221.03674635756133,860
10,23,531003310.0,531034402.0,8.636666666666667,46.0,100.0,54.0,-74.37940663176265,639.7619166666608,1184.7442901234458,505,234.602829727415,1146
