vehicle,event_id,start_time,end_time,duration_hours,start_soc,end_soc,delta_soc,avg_current_a,integrated_current_ah,estimated_capacity_ah,initial_capacity_ah,soh_percent,num_samples
6,4,401044012.0,401054702.0,2.9694444444444446,20.0,97.0,77.0,-98.5495024875622,314.37944444444435,408.28499278499265,160,255.17812049062042,402
6,6,401180114.0,401184814.0,1.3055555555555556,46.0,96.0,50.0,-97.56850828729283,119.76055555555554,239.52111111111108,160,149.70069444444442,181
6,8,402071654.0,402082104.0,2.9027777777777777,13.0,97.0,84.0,-118.15252525252527,258.614722222222,307.87466931216903,160,192.42166832010565,297
6,12,402131414.0,402134204.0,0.775,77.0,97.0,20.0,-61.16371681415929,47.610000000000014,238.05000000000007,160,148.78125000000006,113
6,14,403011255.0,403015735.0,1.2444444444444445,54.0,97.0,43.0,-86.13,101.87611111111104,236.9211886304908,160,148.07574289405676,200
6,16,403192356.0,403202806.0,2.9027777777777777,13.0,97.0,84.0,-113.113,318.9809722222221,379.73925264550246,160,237.33703290343902,200
6,20,404063909.0,404072319.0,2.3361111111111112,52.0,96.0,44.0,-91.94660633484163,225.06583333333316,511.51325757575717,160,319.69578598484827,221
6,22,404183049.0,404192459.0,2.613888888888889,32.0,96.0,64.0,-103.93599999999999,272.3873611111112,425.60525173611126,160,266.0032823350695,175
6,26,405175319.0,405183459.0,2.261111111111111,51.0,94.0,43.0,-94.25065789473686,243.21930555555565,565.6262919896643,160,353.5164324935402,152
6,28,406021928.0,406023128.0,0.3333333333333333,29.0,51.0,22.0,-161.65616438356165,54.89208333333334,249.50946969696972,160,155.94341856060606,73
6,30,406065339.0,406074539.0,2.5555555555555554,37.0,97.0,60.0,-99.0488,296.48444444444465,494.1407407407411,160,308.83796296296316,250
6,32,406192901.0,406202921.0,2.783333333333333,20.0,96.0,76.0,-103.32025316455696,300.13375,394.91282894736844,160,246.82051809210526,158
6,34,407052538.0,407063208.0,2.963888888888889,20.0,97.0,77.0,-91.89032258064516,314.0374999999999,407.84090909090895,160,254.90056818181807,310
6,36,407133648.0,407134928.0,0.35555555555555557,50.0,69.0,19.0,-132.68846153846155,47.200555555555546,248.42397660818708,160,155.26498538011694,26
6,38,407190616.0,407195926.0,1.475,37.0,96.0,59.0,-97.05675675675676,143.44125000000008,243.12076271186456,160,151.95047669491535,185
6,40,408062021.0,408071151.0,2.536111111111111,44.0,97.0,53.0,-91.86209150326798,187.4711111111111,353.71907756813414,160,221.07442348008385,306
6,42,408191021.0,408200611.0,2.6638888888888888,31.0,97.0,66.0,-106.54887640449437,215.7198611111111,326.84827441077437,160,204.28017150673398,178
6,44,409060125.0,409061205.0,0.3,2.0,23.0,21.0,-179.2030769230769,54.37722222222223,258.9391534391535,160,161.8369708994709,65
6,46,409064651.0,409075421.0,2.9916666666666667,16.0,97.0,81.0,-103.34802431610942,315.42222222222233,389.4101508916325,160,243.38134430727033,329
6,48,409185223.0,409194913.0,2.691666666666667,27.0,96.0,69.0,-100.6711111111111,337.93888888888864,489.7665056360705,160,306.1040660225441,180
6,52,410071341.0,410081441.0,2.8055555555555554,39.0,89.0,50.0,-70.00749063670412,155.74805555555577,311.49611111111153,160,194.6850694444447,267
6,54,410190730.0,410200259.0,2.6469444444444443,31.0,97.0,66.0,-99.17658536585367,217.7878194444444,329.98154461279455,160,206.2384653829966,205
6,56,411060825.0,411072615.0,3.275,8.0,97.0,89.0,-100.55925,329.6123611111113,370.35096754057446,160,231.46935471285906,400
6,58,411184047.0,411194707.0,2.9611111111111112,20.0,96.0,76.0,-98.19285714285714,311.8784722222221,410.3664108187133,160,256.4790067616958,196
6,60,412062234.0,412070344.0,2.2527777777777778,60.0,97.0,37.0,-83.48144796380092,151.6350000000001,409.8243243243246,160,256.1402027027029,221
6,62,412192756.0,412202926.0,2.825,17.0,96.0,79.0,-107.74051724137932,308.39861111111117,390.377988748242,160,243.98624296765124,232
6,64,413060454.0,413061804.0,0.375,3.0,14.0,11.0,-76.55375000000001,28.54305555555556,259.48232323232327,160,162.17645202020202,80
6,66,413065624.0,413080444.0,4.116666666666666,12.0,96.0,84.0,-103.17328519855596,429.73597222222253,511.5904431216935,160,319.74402695105846,277
6,68,413184017.0,413193507.0,2.636111111111111,40.0,97.0,57.0,-91.06451612903226,268.2583333333335,470.6286549707606,160,294.1429093567254,186
6,70,414061513.0,414070653.0,2.5388888888888888,39.0,97.0,58.0,-101.22656826568263,196.65027777777766,339.05220306513394,160,211.9076269157087,271
6,74,414212326.0,414214256.0,0.5361111111111111,57.0,83.0,26.0,-116.11440677966101,63.22236111111115,243.16292735042748,160,151.97682959401718,118
6,76,415070510.0,415081340.0,3.0083333333333333,11.0,97.0,86.0,-108.79466019417477,266.40527777777805,309.7735788113698,160,193.60848675710614,412
6,78,415183401.0,415193521.0,2.811111111111111,20.0,97.0,77.0,-106.53170731707316,306.1448611111115,397.5907287157292,160,248.49420544733073,369
6,82,416123913.0,416130723.0,1.8916666666666666,71.0,95.0,24.0,-69.66647058823528,114.46569444444448,476.9403935185187,160,298.0877459490742,170
6,86,417053238.0,417060428.0,1.9972222222222222,2.0,57.0,55.0,-151.90677083333333,290.81361111111113,528.7520202020202,160,330.4700126262626,192
6,88,417062019.0,417071109.0,2.525,57.0,99.0,42.0,-63.39607843137255,148.89347222222204,354.5082671957668,160,221.56766699735425,306
6,90,417124733.0,417132823.0,2.2472222222222222,53.0,95.0,42.0,-91.41056910569104,241.55694444444381,575.1355820105805,160,359.4597387566128,246
6,92,417212005.0,417221415.0,2.613888888888889,36.0,98.0,62.0,-97.75490797546011,206.36666666666665,332.84946236559136,160,208.0309139784946,326
6,94,418175323.0,418190113.0,4.108333333333333,9.0,97.0,88.0,-106.90081743869212,458.1805555555557,520.6597222222224,160,325.412326388889,367
6,96,419032856.0,419041816.0,2.488888888888889,43.0,97.0,54.0,-94.18821548821549,188.40430555555554,348.89686213991763,160,218.06053883744855,297
6,98,419133559.0,419140719.0,1.988888888888889,67.0,95.0,28.0,-75.92169312169312,126.33805555555557,451.20734126984127,160,282.0045882936508,189
6,102,420032346.0,420035736.0,0.9416666666666667,64.0,95.0,31.0,-78.17598039215686,73.81152777777784,238.10170250896078,160,148.8135640681005,204
6,104,420113835.0,420115025.0,0.33055555555555555,36.0,52.0,16.0,-114.31805555555555,37.587361111111115,234.92100694444446,160,146.82562934027777,72
6,106,420130728.0,420141148.0,2.8944444444444444,22.0,98.0,76.0,-101.19121447028424,241.2130555555553,317.3855994152043,160,198.36599963450269,387
6,110,421113725.0,421121035.0,2.0305555555555554,64.0,94.0,30.0,-78.97614213197969,132.9776388888889,443.25879629629634,160,277.0367476851852,197
