,mean,std,min,max,median,missing,zeros,negative
time,416152696.3823693,8637714.834304899,401023413.0,430223233.0,416153403.0,0.0,0.0,0.0
vhc_speed,25.9893697065576,29.51400122620953,0.0,97.0,14.0,292.0,20186.0,0.0
charging_signal,2.6639206683001175,0.7478102266525929,1.0,3.0,3.0,292.0,0.0,0.0
vhc_totalMile,53976.449233114035,2105.2470759137664,50388.5,57391.9,54002.5,292.0,0.0,0.0
hv_voltage,517.4783689927267,7.882589265134706,489.0,557.0,517.5,292.0,0.0,0.0
hv_current,0.8174946462678216,116.50574654895411,-346.8,603.4,3.7,292.0,379.0,16864.0
bcell_soc,72.56743773271855,17.245711936862424,28.0,100.0,74.0,292.0,0.0,0.0
bcell_maxVoltage,29331.340103136685,32585.303656705684,3.172,65535.0,3.398,0.0,0.0,0.0
bcell_minVoltage,29874.4483172566,32638.038301219036,3.15,65535.0,3.395,0.0,0.0,0.0
bcell_maxTemp,28.659856115107914,2.982899774062026,22.0,36.0,29.0,0.0,0.0,0.0
bcell_minTemp,26.49651798561151,2.6131467897640874,20.0,32.0,26.0,0.0,0.0,0.0
