,mean,std,min,max,median,missing,zeros,negative
time,418195663.3522384,8257467.963865276,401000050.0,430233951.0,419095039.0,0.0,0.0,0.0
vhc_speed,22.115866242038223,30.027999970184936,0.0,127.3,0.0,0.0,55774.0,0.0
charging_signal,2.722939035486806,0.6913691805347422,1.0,4.0,3.0,0.0,0.0,0.0
vhc_totalMile,230536.46838944496,2041.1141074555558,226316.0,233783.0,230730.0,0.0,0.0,0.0
hv_voltage,356.03910828025477,19.227295581363716,306.0,389.0,356.0,0.0,0.0,0.0
hv_current,-0.506535941765241,46.551617862806395,-199.8,325.5,1.5,0.0,460.0,32160.0
bcell_soc,67.36409463148317,23.4482946059329,5.0,100.0,70.0,0.0,0.0,0.0
bcell_maxVoltage,3.9336473521383075,0.20943046635020926,3.474,4.287,3.937,0.0,0.0,0.0
bcell_minVoltage,3.905713102820746,0.2512146878104731,0.0,4.271,3.91,0.0,126.0,0.0
bcell_maxTemp,28.113075523202912,3.421281036036647,18.0,42.0,28.0,0.0,0.0,0.0
bcell_minTemp,25.571428571428573,3.361081088509149,-40.0,37.0,26.0,0.0,0.0,1.0
