,mean,std,min,max,median,missing,zeros,negative
time,113124224.13719222,8915208.342721496,102135426.0,131235958.0,111184123.0,0.0,0.0,0.0
bcell_soc,66.92326442456032,16.415056476063867,23.0,100.0,66.0,0.0,0.0,0.0
hv_voltage,547.3953008330762,20.55534463450777,489.0,599.0,545.0,0.0,0.0,0.0
hv_current,0.10381672323356989,20.515457012587554,-108.0,178.0,1.0,0.0,76827.0,54265.0
vhc_speed,6.331783400185128,13.692292775514428,0.0,69.0,0.0,0.0,244407.0,0.0
bcell_Temp,14.475057081147794,3.6448755397097425,7.0,27.0,15.0,0.0,0.0,0.0
vhc_totalMile,85803.16598272139,363.16651572270683,85173.0,86340.0,85811.0,0.0,0.0,0.0
charging_signal,0.1190620178957112,0.3238619727822842,0.0,1.0,0.0,0.0,285512.0,0.0
