metric,value
vehicle,8
total_rows,52125
total_columns,11
columns,"['time', 'vhc_speed', 'charging_signal', 'vhc_totalMile', 'hv_voltage', 'hv_current', 'bcell_soc', 'bcell_maxVoltage', 'bcell_minVoltage', 'bcell_maxTemp', 'bcell_minTemp']"
anomalies,"{'time_65535_sentinel': np.int64(52125), 'bcell_maxvoltage_65535_sentinel': np.int64(23328), 'bcell_minvoltage_65535_sentinel': np.int64(23760), 'max_min_voltage_inconsistency': np.int64(9122), 'large_voltage_spread': np.int64(8690), 'timestamp_inconsistencies': np.int64(51923)}"
total_anomalies,168948
missing_info,"{'total_missing': np.int64(1752), 'missing_percentage': np.float64(0.3055591890124264), 'columns_with_missing': {'vhc_speed': 292, 'charging_signal': 292, 'vhc_totalmile': 292, 'hv_voltage': 292, 'hv_current': 292, 'bcell_soc': 292}}"
distributions,"{'vhc_speed': {'mean': np.float64(25.9893697065576), 'std': np.float64(29.51400122620953), 'min': np.float64(0.0), 'max': np.float64(97.0), 'median': np.float64(14.0), 'skewness': np.float64(0.8036514340404706), 'kurtosis': np.float64(-0.7680957574724303), 'zeros_pct': np.float64(38.94430189261667), 'outliers_3sigma': np.int64(0)}, 'hv_current': {'mean': np.float64(0.8174946462678216), 'std': np.float64(116.50574654895411), 'min': np.float64(-346.8), 'max': np.float64(603.4), 'median': np.float64(3.7), 'skewness': np.float64(0.3198782325390073), 'kurtosis': np.float64(1.4175718702960824), 'zeros_pct': np.float64(0.731194412825806), 'outliers_3sigma': np.int64(371)}, 'bcell_soc': {'mean': np.float64(72.56743773271855), 'std': np.float64(17.245711936862424), 'min': np.float64(28.0), 'max': np.float64(100.0), 'median': np.float64(74.0), 'skewness': np.float64(-0.3296599927210221), 'kurtosis': np.float64(-0.7684704371959046), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(0)}, 'bcell_maxvoltage': {'mean': np.float64(29331.340103136685), 'std': np.float64(32585.303656705684), 'min': np.float64(3.172), 'max': np.float64(65535.0), 'median': np.float64(3.398), 'skewness': np.float64(0.21101243291651814), 'kurtosis': np.float64(-1.9555487876693292), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(0)}, 'bcell_minvoltage': {'mean': np.float64(29874.4483172566), 'std': np.float64(32638.038301219036), 'min': np.float64(3.15), 'max': np.float64(65535.0), 'median': np.float64(3.395), 'skewness': np.float64(0.17738934102497103), 'kurtosis': np.float64(-1.9686085572997842), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(0)}, 'bcell_maxtemp': {'mean': np.float64(28.659856115107914), 'std': np.float64(2.982899774062026), 'min': np.int64(22), 'max': np.int64(36), 'median': np.float64(29.0), 'skewness': np.float64(-0.08446613548060414), 'kurtosis': np.float64(-0.793329267630499), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(0)}, 'bcell_mintemp': {'mean': np.float64(26.49651798561151), 'std': np.float64(2.6131467897640874), 'min': np.int64(20), 'max': np.int64(32), 'median': np.float64(26.0), 'skewness': np.float64(-0.13708025147677058), 'kurtosis': np.float64(-0.7392829812393216), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(0)}}"
quality_score,49.388881621975145
