,mean,std,min,max,median,missing,zeros,negative
time,417718554.6855967,8386678.469929785,401042909.0,430235734.0,420042130.0,0.0,0.0,0.0
vhc_speed,24.575848006056315,26.44235513483653,0.0,115.3,16.3,0.0,32639.0,0.0
charging_signal,2.8336711519206816,0.5522645512367355,1.0,3.0,3.0,0.0,0.0,0.0
vhc_totalMile,85432.53026935944,2034.148629897864,81491.0,88424.0,85967.0,0.0,0.0,0.0
hv_voltage,358.0699162372708,15.432263320955677,322.0,389.0,360.0,0.0,0.0,0.0
hv_current,-0.5247698356492225,37.152982579893504,-200.2,185.5,2.4,0.0,425.0,18981.0
bcell_soc,70.5717233632079,16.441491397554433,20.0,98.0,74.0,0.0,0.0,0.0
bcell_maxVoltage,3.9526508461745093,0.16994681660043665,3.562,4.285,3.975,0.0,0.0,0.0
bcell_minVoltage,3.923239493027913,0.23240166011909788,0.0,4.262,3.95,0.0,136.0,0.0
bcell_maxTemp,27.81247405309043,2.9508015057272097,19.0,35.0,28.0,0.0,0.0,0.0
bcell_minTemp,24.910632738284207,2.727195900983958,-40.0,32.0,25.0,0.0,0.0,6.0
