,mean,std,min,max,median,missing,zeros,negative
time,418152732.2524664,7857871.13219065,401000049.0,430235813.0,419164581.0,0.0,0.0,0.0
vhc_speed,19.61783361221502,25.97892433359557,0.0,124.0,7.3,0.0,53382.0,0.0
charging_signal,2.8024994770968417,0.596655421326178,1.0,3.0,3.0,0.0,0.0,0.0
vhc_totalMile,304403.8433294987,1865.219248274739,300689.0,307466.0,304498.0,0.0,0.0,0.0
hv_voltage,354.0713675660601,16.839743323585797,316.0,389.0,355.0,0.0,0.0,0.0
hv_current,-0.8192672383741202,41.21858178852014,-200.0,300.4,2.7,0.0,473.0,27109.0
bcell_soc,66.28425887192358,19.61117140052879,11.0,99.0,69.0,0.0,0.0,0.0
bcell_maxVoltage,3.9078339433870184,0.18410200172603883,3.543,4.285,3.914,0.0,0.0,0.0
bcell_minVoltage,3.8788755926235794,0.21042191343500674,0.0,4.26,3.883,0.0,83.0,0.0
bcell_maxTemp,28.15015164191592,3.0897946645525316,21.0,39.0,28.0,0.0,0.0,0.0
bcell_minTemp,24.775012201073693,2.735816037797155,19.0,35.0,25.0,0.0,0.0,0.0
