metric,value
vehicle,10
total_rows,32244
total_columns,11
columns,"['time', 'vhc_speed', 'charging_signal', 'vhc_totalMile', 'hv_voltage', 'hv_current', 'bcell_soc', 'bcell_maxVoltage', 'bcell_minVoltage', 'bcell_maxTemp', 'bcell_minTemp']"
anomalies,"{'time_65535_sentinel': np.int64(32244), 'vhc_totalmile_65535_sentinel': np.int64(32244), 'bcell_maxvoltage_65535_sentinel': np.int64(20639), 'bcell_minvoltage_65535_sentinel': np.int64(21255), 'bcell_minvoltage_zero_values': np.int64(1), 'max_min_voltage_inconsistency': np.int64(6713), 'large_voltage_spread': np.int64(6097), 'timestamp_inconsistencies': np.int64(5501)}"
total_anomalies,124694
missing_info,"{'total_missing': np.int64(0), 'missing_percentage': np.float64(0.0)}"
distributions,"{'vhc_speed': {'mean': np.float64(15.130197866269695), 'std': np.float64(17.59339823326742), 'min': np.float64(0.0), 'max': np.float64(50.9), 'median': np.float64(3.7), 'skewness': np.float64(0.5778356141185772), 'kurtosis': np.float64(-1.385284573157321), 'zeros_pct': np.float64(47.075424885249966), 'outliers_3sigma': np.int64(0)}, 'hv_current': {'mean': np.float64(0.23127713683165801), 'std': np.float64(71.07498286187912), 'min': np.float64(-258.2), 'max': np.float64(354.2), 'median': np.float64(5.5), 'skewness': np.float64(0.07161788876360489), 'kurtosis': np.float64(0.5459060371331752), 'zeros_pct': np.float64(0.35355414960922965), 'outliers_3sigma': np.int64(117)}, 'bcell_soc': {'mean': np.float64(78.24686763428855), 'std': np.float64(13.318612763565868), 'min': np.int64(46), 'max': np.int64(100), 'median': np.float64(79.0), 'skewness': np.float64(-0.2871946878255254), 'kurtosis': np.float64(-0.86918655290174), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(0)}, 'bcell_maxvoltage': {'mean': np.float64(41949.37242125667), 'std': np.float64(31454.003038394443), 'min': np.float64(3.243), 'max': np.float64(65535.0), 'median': np.float64(65535.0), 'skewness': np.float64(-0.5837587355474896), 'kurtosis': np.float64(-1.659328665769384), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(0)}, 'bcell_minvoltage': {'mean': np.float64(43201.30298523756), 'std': np.float64(31061.242387189817), 'min': np.float64(0.0), 'max': np.float64(65535.0), 'median': np.float64(65535.0), 'skewness': np.float64(-0.671756415549892), 'kurtosis': np.float64(-1.548839391940569), 'zeros_pct': np.float64(0.0031013521895546453), 'outliers_3sigma': np.int64(0)}, 'bcell_maxtemp': {'mean': np.float64(28.813174544101226), 'std': np.float64(1.7381422089886078), 'min': np.int64(26), 'max': np.int64(34), 'median': np.float64(29.0), 'skewness': np.float64(0.9584748368645126), 'kurtosis': np.float64(1.07973562838384), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(0)}, 'bcell_mintemp': {'mean': np.float64(27.20772856965637), 'std': np.float64(1.5251983492863705), 'min': np.int64(24), 'max': np.int64(32), 'median': np.float64(27.0), 'skewness': np.float64(0.9477515626449358), 'kurtosis': np.float64(1.271899959417842), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(665)}}"
quality_score,50.0
