,mean,std,min,max,median,missing,zeros,negative
time,415767593.6126123,8348997.703429764,401000051.0,430235953.0,416115621.0,0.0,0.0,0.0
vhc_speed,22.187177294843487,29.64057635545944,0.0,126.9,6.2,0.0,79593.0,0.0
charging_signal,2.7886707961444537,0.6148176155992294,1.0,3.0,3.0,0.0,0.0,0.0
vhc_totalMile,252523.55029494804,3239.400130139285,246369.0,257453.0,253084.0,0.0,0.0,0.0
hv_voltage,353.69759674234643,17.683125506209922,308.0,389.0,355.0,0.0,0.0,0.0
hv_current,-0.18299573724711052,47.30142417126812,-200.4,326.8,1.5,0.0,3758.0,41713.0
bcell_soc,65.02940253796802,22.204676447152007,1.0,99.0,69.0,0.0,0.0,0.0
bcell_maxVoltage,3.9042241974275855,0.19274506108970343,3.477,6.553,3.916,0.0,0.0,0.0
bcell_minVoltage,3.8706328988564995,0.2146169717324312,0.0,4.258,3.878,0.0,102.0,0.0
bcell_maxTemp,33.18075179460051,4.34739081574389,20.0,47.0,33.0,0.0,0.0,0.0
bcell_minTemp,29.713780440545978,4.5223773767477,17.0,44.0,29.0,0.0,0.0,0.0
