,mean,std,min,max,median,missing,zeros,negative
time,523008850.1914775,8214072.0851110965,507002908.0,531212316.0,526082805.0,0.0,0.0,0.0
vhc_speed,15.130197866269695,17.59339823326742,0.0,50.9,3.7,0.0,15179.0,0.0
charging_signal,2.5455898771864534,0.8380653127091828,1.0,3.0,3.0,0.0,0.0,0.0
vhc_totalMile,137298.22667783152,922.4053226223552,135548.0,138296.0,137642.0,0.0,0.0,0.0
hv_voltage,539.3236912293761,6.349778071054995,520.8,576.4,537.7,0.0,0.0,0.0
hv_current,0.23127713683165801,71.07498286187912,-258.2,354.2,5.5,0.0,114.0,11517.0
bcell_soc,78.24686763428855,13.318612763565868,46.0,100.0,79.0,0.0,0.0,0.0
bcell_maxVoltage,41949.37242125667,31454.003038394443,3.243,65535.0,65535.0,0.0,0.0,0.0
bcell_minVoltage,43201.30298523756,31061.242387189817,0.0,65535.0,65535.0,0.0,1.0,0.0
bcell_maxTemp,28.813174544101226,1.7381422089886078,26.0,34.0,29.0,0.0,0.0,0.0
bcell_minTemp,27.20772856965637,1.5251983492863705,24.0,32.0,27.0,0.0,0.0,0.0
