metric,value
vehicle,9
total_rows,68290
total_columns,11
columns,"['time', 'vhc_speed', 'charging_signal', 'vhc_totalMile', 'hv_voltage', 'hv_current', 'bcell_soc', 'bcell_maxVoltage', 'bcell_minVoltage', 'bcell_maxTemp', 'bcell_minTemp']"
anomalies,"{'time_65535_sentinel': np.int64(68290), 'vhc_totalmile_65535_sentinel': np.int64(68290), 'bcell_maxvoltage_65535_sentinel': np.int64(42453), 'bcell_minvoltage_65535_sentinel': np.int64(38369), 'bcell_minvoltage_zero_values': np.int64(8), 'bcell_maxtemp_extreme': np.int64(21), 'max_min_voltage_inconsistency': np.int64(15443), 'large_voltage_spread': np.int64(19527), 'timestamp_inconsistencies': np.int64(23942)}"
total_anomalies,276343
missing_info,"{'total_missing': np.int64(0), 'missing_percentage': np.float64(0.0)}"
distributions,"{'vhc_speed': {'mean': np.float64(12.298045101771855), 'std': np.float64(14.632813634264497), 'min': np.float64(0.0), 'max': np.float64(49.3), 'median': np.float64(2.4), 'skewness': np.float64(0.7156872701800926), 'kurtosis': np.float64(-1.0300467055209521), 'zeros_pct': np.float64(46.94391565382926), 'outliers_3sigma': np.int64(0)}, 'hv_current': {'mean': np.float64(2.4488812417630696), 'std': np.float64(65.04198770927444), 'min': np.float64(-212.7), 'max': np.float64(265.4), 'median': np.float64(2.3), 'skewness': np.float64(-0.04712717305536265), 'kurtosis': np.float64(1.6435031018577408), 'zeros_pct': np.float64(11.872895006589545), 'outliers_3sigma': np.int64(769)}, 'bcell_soc': {'mean': np.float64(76.36873627178211), 'std': np.float64(16.45499309497632), 'min': np.int64(16), 'max': np.int64(100), 'median': np.float64(79.0), 'skewness': np.float64(-0.7605242171007229), 'kurtosis': np.float64(0.16958097249663462), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(472)}, 'bcell_maxvoltage': {'mean': np.float64(40741.59107276322), 'std': np.float64(31781.367005248576), 'min': np.float64(3.2), 'max': np.float64(65535.0), 'median': np.float64(65535.0), 'skewness': np.float64(-0.5017192768017542), 'kurtosis': np.float64(-1.748328971211758), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(0)}, 'bcell_minvoltage': {'mean': np.float64(36822.53717810807), 'std': np.float64(32514.405210673245), 'min': np.float64(0.0), 'max': np.float64(65535.0), 'median': np.float64(65535.0), 'skewness': np.float64(-0.24933609440001692), 'kurtosis': np.float64(-1.9378882675516311), 'zeros_pct': np.float64(0.011714745936447503), 'outliers_3sigma': np.int64(0)}, 'bcell_maxtemp': {'mean': np.float64(27.681519988285253), 'std': np.float64(4.654245468592819), 'min': np.int64(20), 'max': np.int64(255), 'median': np.float64(28.0), 'skewness': np.float64(35.73618454813529), 'kurtosis': np.float64(1747.2882802576694), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(21)}, 'bcell_mintemp': {'mean': np.float64(26.28594230487626), 'std': np.float64(2.4584032415691195), 'min': np.int64(0), 'max': np.int64(32), 'median': np.float64(27.0), 'skewness': np.float64(-0.8702660755583386), 'kurtosis': np.float64(3.1960606096526494), 'zeros_pct': np.float64(0.024893835114950948), 'outliers_3sigma': np.int64(17)}}"
quality_score,50.0
