metric,value
vehicle,2
total_rows,91406
total_columns,11
columns,"['time', 'vhc_speed', 'charging_signal', 'vhc_totalMile', 'hv_voltage', 'hv_current', 'bcell_soc', 'bcell_maxVoltage', 'bcell_minVoltage', 'bcell_maxTemp', 'bcell_minTemp']"
anomalies,"{'time_65535_sentinel': np.int64(91406), 'vhc_totalmile_65535_sentinel': np.int64(91406), 'bcell_minvoltage_zero_values': np.int64(51), 'bcell_mintemp_extreme': np.int64(1), 'large_voltage_spread': np.int64(51), 'timestamp_inconsistencies': np.int64(18424)}"
total_anomalies,201339
missing_info,"{'total_missing': np.int64(0), 'missing_percentage': np.float64(0.0)}"
distributions,"{'vhc_speed': {'mean': np.float64(21.270737150734085), 'std': np.float64(27.19655167146312), 'min': np.float64(0.0), 'max': np.float64(128.0), 'median': np.float64(7.8), 'skewness': np.float64(1.255269544847575), 'kurtosis': np.float64(0.9391069492690742), 'zeros_pct': np.float64(47.96621665973787), 'outliers_3sigma': np.int64(1418)}, 'hv_current': {'mean': np.float64(-1.2875916241822203), 'std': np.float64(43.18034457874397), 'min': np.float64(-199.8), 'max': np.float64(222.3), 'median': np.float64(1.0), 'skewness': np.float64(-1.6922967901605097), 'kurtosis': np.float64(5.1183377268698145), 'zeros_pct': np.float64(1.6618165109511411), 'outliers_3sigma': np.int64(2613)}, 'bcell_soc': {'mean': np.float64(60.9323020370654), 'std': np.float64(22.20491049905024), 'min': np.int64(5), 'max': np.int64(97), 'median': np.float64(64.0), 'skewness': np.float64(-0.37735294140786035), 'kurtosis': np.float64(-0.8612041511636495), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(0)}, 'bcell_maxvoltage': {'mean': np.float64(3.8754414589851875), 'std': np.float64(0.19776907701921395), 'min': np.float64(3.477), 'max': np.float64(4.285), 'median': np.float64(3.87), 'skewness': np.float64(0.1091840092561874), 'kurtosis': np.float64(-1.2476946776417697), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(0)}, 'bcell_minvoltage': {'mean': np.float64(3.846824551998775), 'std': np.float64(0.2159259593105174), 'min': np.float64(0.0), 'max': np.float64(4.257), 'median': np.float64(3.832), 'skewness': np.float64(-3.0304236075755737), 'kurtosis': np.float64(54.424708694475186), 'zeros_pct': np.float64(0.05579502439664793), 'outliers_3sigma': np.int64(51)}, 'bcell_maxtemp': {'mean': np.float64(28.95608603373958), 'std': np.float64(2.5040500629556512), 'min': np.int64(18), 'max': np.int64(37), 'median': np.float64(29.0), 'skewness': np.float64(-0.1274917808277808), 'kurtosis': np.float64(1.0915148183884478), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(849)}, 'bcell_mintemp': {'mean': np.float64(26.137190118810583), 'std': np.float64(2.247221444802529), 'min': np.int64(-40), 'max': np.int64(34), 'median': np.float64(26.0), 'skewness': np.float64(-0.3820176034280199), 'kurtosis': np.float64(8.722939269037095), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(679)}}"
quality_score,50.0
