metric,value
vehicle,5
total_rows,109900
total_columns,11
columns,"['time', 'vhc_speed', 'charging_signal', 'vhc_totalMile', 'hv_voltage', 'hv_current', 'bcell_soc', 'bcell_maxVoltage', 'bcell_minVoltage', 'bcell_maxTemp', 'bcell_minTemp']"
anomalies,"{'time_65535_sentinel': np.int64(109900), 'vhc_totalmile_65535_sentinel': np.int64(109900), 'bcell_minvoltage_zero_values': np.int64(126), 'bcell_mintemp_extreme': np.int64(1), 'large_voltage_spread': np.int64(126), 'timestamp_inconsistencies': np.int64(22653)}"
total_anomalies,242706
missing_info,"{'total_missing': np.int64(0), 'missing_percentage': np.float64(0.0)}"
distributions,"{'vhc_speed': {'mean': np.float64(22.115866242038223), 'std': np.float64(30.027999970184936), 'min': np.float64(0.0), 'max': np.float64(127.3), 'median': np.float64(0.0), 'skewness': np.float64(1.2261691019563214), 'kurtosis': np.float64(0.4017892033975463), 'zeros_pct': np.float64(50.74977252047316), 'outliers_3sigma': np.int64(572)}, 'hv_current': {'mean': np.float64(-0.506535941765241), 'std': np.float64(46.551617862806395), 'min': np.float64(-199.8), 'max': np.float64(325.5), 'median': np.float64(1.5), 'skewness': np.float64(-0.4680951147168373), 'kurtosis': np.float64(5.830305141724809), 'zeros_pct': np.float64(0.41856232939035487), 'outliers_3sigma': np.int64(2902)}, 'bcell_soc': {'mean': np.float64(67.36409463148317), 'std': np.float64(23.4482946059329), 'min': np.int64(5), 'max': np.int64(100), 'median': np.float64(70.0), 'skewness': np.float64(-0.4736666326980508), 'kurtosis': np.float64(-0.7174030195163246), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(0)}, 'bcell_maxvoltage': {'mean': np.float64(3.9336473521383075), 'std': np.float64(0.20943046635020926), 'min': np.float64(3.474), 'max': np.float64(4.287), 'median': np.float64(3.937), 'skewness': np.float64(-0.025575823085351702), 'kurtosis': np.float64(-1.292498113755315), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(0)}, 'bcell_minvoltage': {'mean': np.float64(3.905713102820746), 'std': np.float64(0.2512146878104731), 'min': np.float64(0.0), 'max': np.float64(4.271), 'median': np.float64(3.91), 'skewness': np.float64(-4.281209067892114), 'kurtosis': np.float64(64.90155660406955), 'zeros_pct': np.float64(0.11464968152866241), 'outliers_3sigma': np.int64(126)}, 'bcell_maxtemp': {'mean': np.float64(28.113075523202912), 'std': np.float64(3.421281036036647), 'min': np.int64(18), 'max': np.int64(42), 'median': np.float64(28.0), 'skewness': np.float64(0.30893515358646945), 'kurtosis': np.float64(0.519850504388562), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(571)}, 'bcell_mintemp': {'mean': np.float64(25.571428571428573), 'std': np.float64(3.361081088509149), 'min': np.int64(-40), 'max': np.int64(37), 'median': np.float64(26.0), 'skewness': np.float64(-0.07380360984999532), 'kurtosis': np.float64(1.0636817543479085), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(289)}}"
quality_score,50.0
