metric,value
vehicle,4
total_rows,151192
total_columns,11
columns,"['time', 'vhc_speed', 'charging_signal', 'vhc_totalMile', 'hv_voltage', 'hv_current', 'bcell_soc', 'bcell_maxVoltage', 'bcell_minVoltage', 'bcell_maxTemp', 'bcell_minTemp']"
anomalies,"{'time_65535_sentinel': np.int64(151192), 'vhc_totalmile_65535_sentinel': np.int64(151192), 'bcell_minvoltage_zero_values': np.int64(61), 'large_voltage_spread': np.int64(61), 'timestamp_inconsistencies': np.int64(31723)}"
total_anomalies,334229
missing_info,"{'total_missing': np.int64(0), 'missing_percentage': np.float64(0.0)}"
distributions,"{'vhc_speed': {'mean': np.float64(20.507534790200538), 'std': np.float64(30.11659282661936), 'min': np.float64(0.0), 'max': np.float64(148.6), 'median': np.float64(0.0), 'skewness': np.float64(1.4195542660823988), 'kurtosis': np.float64(1.0306042894784744), 'zeros_pct': np.float64(55.65836816762791), 'outliers_3sigma': np.int64(1662)}, 'hv_current': {'mean': np.float64(-0.501156807238478), 'std': np.float64(43.075903788884446), 'min': np.float64(-201.1), 'max': np.float64(329.5), 'median': np.float64(1.5), 'skewness': np.float64(-1.0200721275766806), 'kurtosis': np.float64(6.267676800433141), 'zeros_pct': np.float64(0.4643102809672469), 'outliers_3sigma': np.int64(4170)}, 'bcell_soc': {'mean': np.float64(67.78617916291867), 'std': np.float64(20.1188207350211), 'min': np.int64(4), 'max': np.int64(99), 'median': np.float64(71.0), 'skewness': np.float64(-0.5478041025771173), 'kurtosis': np.float64(-0.5583219200636771), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(187)}, 'bcell_maxvoltage': {'mean': np.float64(3.92120203449918), 'std': np.float64(0.18326668079050304), 'min': np.float64(3.496), 'max': np.float64(4.285), 'median': np.float64(3.939), 'skewness': np.float64(-0.12243674176252925), 'kurtosis': np.float64(-1.2173255395059337), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(0)}, 'bcell_minvoltage': {'mean': np.float64(3.8947038401502723), 'std': np.float64(0.1995886152395889), 'min': np.float64(0.0), 'max': np.float64(4.261), 'median': np.float64(3.91), 'skewness': np.float64(-3.048199242416105), 'kurtosis': np.float64(56.78735320476113), 'zeros_pct': np.float64(0.0403460500555585), 'outliers_3sigma': np.int64(61)}, 'bcell_maxtemp': {'mean': np.float64(27.557555955341552), 'std': np.float64(2.7988419394220805), 'min': np.int64(20), 'max': np.int64(37), 'median': np.float64(27.0), 'skewness': np.float64(0.07386792222522802), 'kurtosis': np.float64(0.18385574104068958), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(478)}, 'bcell_mintemp': {'mean': np.float64(24.098146727340072), 'std': np.float64(2.7941038447717212), 'min': np.int64(18), 'max': np.int64(34), 'median': np.float64(24.0), 'skewness': np.float64(0.16081954733297915), 'kurtosis': np.float64(-0.5330954090143543), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(243)}}"
quality_score,50.0
