metric,value
vehicle,6
total_rows,162571
total_columns,11
columns,"['time', 'vhc_speed', 'charging_signal', 'vhc_totalMile', 'hv_voltage', 'hv_current', 'bcell_soc', 'bcell_maxVoltage', 'bcell_minVoltage', 'bcell_maxTemp', 'bcell_minTemp']"
anomalies,"{'time_65535_sentinel': np.int64(162571), 'vhc_totalmile_65535_sentinel': np.int64(162571), 'bcell_minvoltage_zero_values': np.int64(102), 'large_voltage_spread': np.int64(103), 'timestamp_inconsistencies': np.int64(34168)}"
total_anomalies,359515
missing_info,"{'total_missing': np.int64(0), 'missing_percentage': np.float64(0.0)}"
distributions,"{'vhc_speed': {'mean': np.float64(22.187177294843487), 'std': np.float64(29.64057635545944), 'min': np.float64(0.0), 'max': np.float64(126.9), 'median': np.float64(6.2), 'skewness': np.float64(1.2816141177716975), 'kurtosis': np.float64(0.7199484049617606), 'zeros_pct': np.float64(48.95891641190618), 'outliers_3sigma': np.int64(1661)}, 'hv_current': {'mean': np.float64(-0.18299573724711052), 'std': np.float64(47.30142417126812), 'min': np.float64(-200.4), 'max': np.float64(326.8), 'median': np.float64(1.5), 'skewness': np.float64(-0.5463107625795554), 'kurtosis': np.float64(4.88669621860064), 'zeros_pct': np.float64(2.3116053908753713), 'outliers_3sigma': np.int64(3293)}, 'bcell_soc': {'mean': np.float64(65.02940253796802), 'std': np.float64(22.204676447152007), 'min': np.int64(1), 'max': np.int64(99), 'median': np.float64(69.0), 'skewness': np.float64(-0.6008369199217415), 'kurtosis': np.float64(-0.5565871725327671), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(0)}, 'bcell_maxvoltage': {'mean': np.float64(3.9042241974275855), 'std': np.float64(0.19274506108970343), 'min': np.float64(3.477), 'max': np.float64(6.553), 'median': np.float64(3.916), 'skewness': np.float64(-0.07669673493106251), 'kurtosis': np.float64(-1.0589832251932512), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(1)}, 'bcell_minvoltage': {'mean': np.float64(3.8706328988564995), 'std': np.float64(0.2146169717324312), 'min': np.float64(0.0), 'max': np.float64(4.258), 'median': np.float64(3.878), 'skewness': np.float64(-3.695930555752002), 'kurtosis': np.float64(64.4859454468892), 'zeros_pct': np.float64(0.06274181742131131), 'outliers_3sigma': np.int64(102)}, 'bcell_maxtemp': {'mean': np.float64(33.18075179460051), 'std': np.float64(4.34739081574389), 'min': np.int64(20), 'max': np.int64(47), 'median': np.float64(33.0), 'skewness': np.float64(0.17849949976225293), 'kurtosis': np.float64(0.22323401978442092), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(906)}, 'bcell_mintemp': {'mean': np.float64(29.713780440545978), 'std': np.float64(4.5223773767477), 'min': np.int64(17), 'max': np.int64(44), 'median': np.float64(29.0), 'skewness': np.float64(0.35698896876570096), 'kurtosis': np.float64(-0.09008395093375521), 'zeros_pct': np.float64(0.0), 'outliers_3sigma': np.int64(60)}}"
quality_score,50.0
