,mean,std,min,max,median,missing,zeros,negative
time,416930789.9978107,8779647.01404245,401000042.0,430235955.0,418005137.0,0.0,0.0,0.0
vhc_speed,20.507534790200538,30.11659282661936,0.0,148.6,0.0,0.0,84151.0,0.0
charging_signal,2.802846711466215,0.5961874778982472,1.0,3.0,3.0,0.0,0.0,0.0
vhc_totalMile,383076.22120218,2796.492368275207,377700.0,387325.0,383522.0,0.0,0.0,0.0
hv_voltage,355.2261561458278,16.777550866781986,311.0,389.0,357.0,0.0,0.0,0.0
hv_current,-0.501156807238478,43.075903788884446,-201.1,329.5,1.5,0.0,702.0,32635.0
bcell_soc,67.78617916291867,20.1188207350211,4.0,99.0,71.0,0.0,0.0,0.0
bcell_maxVoltage,3.92120203449918,0.18326668079050304,3.496,4.285,3.939,0.0,0.0,0.0
bcell_minVoltage,3.8947038401502723,0.1995886152395889,0.0,4.261,3.91,0.0,61.0,0.0
bcell_maxTemp,27.557555955341552,2.7988419394220805,20.0,37.0,27.0,0.0,0.0,0.0
bcell_minTemp,24.098146727340072,2.7941038447717212,18.0,34.0,24.0,0.0,0.0,0.0
